id,Q,A
10813,키키 아휴 난 용기가 없다 키키,"그거 건강해야 엄청 아프다든데 난 면역력이,"
10820,동물들은 마스크도 못 쓰는데 ㄷㄷ,그니깐 ㅜㅜ 동물들 아프면 넘나리 불쌍
10832,키키 엉 그래서 자꾸 마스크팩만 손이 감...,맞아 요새 걍 힘들다 몸이 ㅜㅜ
10871,**네 두루치기 하면 잘 될 듯,키키 이제 음식 장사는 그만하고 싶다 넘 힘들어서...
10939,벅수가 먼저 죽으니까 개슬프당 생각만 해도,그래 ㅠㅠ 어쩔 수 없는 부분이지만 오래 살길 기도하자!
10970,엄청 희안한 거 팔아 하하 설명하기 힘들엉,만간 남해 한번 들려야겠네
10971,엄청 희안한 거 팔아 하하 설명하기 힘들엉,나는 남해 마늘꽃 보러 갔다 왔었어!
10982,혹쉬 너네 집에서 보면  별이 쏟아지니?,사진으로 안 담겨서 슬프다 ㅜ
11087,한 달 정도 5월에 신고 기간 때 했었어 키키,오 신기하다 세무서에서 힘들게 일했겠네1 : 너 군대 다닐 때 부조리 심했어?
11124,그러면 그건 그냥 임보 아니야? 키키,키우다가 힘들어서 다시 줬어
11126,아하 키키 둘 다 아파트에서 키우기는 많이 힘들지,그런 것 같아 반려 동물은 능력이 있어야 제대로 키울 수 있는 것 같아
11225,이해한 난 또 뭐냐고 키키,이해하지 마 슬프니까...
11238,슬프다... 집도 구해야 하고 일자리도 구해야 하네,그러게... 열심히 살아보자1 : 버스가 좋아? 지하철이 좋아?
11239,슬프다... 집도 구해야 하고 일자리도 구해야 하네,나는 버스가 좋아
11362,에이 쌍수는 시술이지 요즘.,그래도 아프지 않더니?
11370,키키 요가는 재미없잖아 지루해,너 요가 무시하네 요가도 힘들대 하하
11398,몰라 어릴 때도 문찐이었나 봐,ㅜ 마음이 아프다
11493,그런가 ㅜㅜ 남친 사귀기가 더 조심스러워지나?,응응 그렇지... 나이가 있다 보니 좀 힘들지... 슬프네...
11524,아... 아니 키키 뭔가 버티기 이런 거 너무 힘들듯,그거 버티는 순간 코어 힘이 생긴다 키키
11525,아... 아니 키키 뭔가 버티기 이런 거 너무 힘들듯,허리도 안 아파 그럼 키키
11526,키키 너 요즘 허리 아예 안 아파?,아프긴 한데 확실히 코어 근육이 생기니까 덜 아파!
11560,날씨도 좋아서 같이 놀러 가면 좋은데,응응 놀러 가면 좋을 거 같은뎅~!1 : 요즘 자영업자들 진짜 너무 힘들겠더라 ㅜㅜ
11576,ㅜㅜ 아 그래! 왜 사람들이 치료제를 먼저 안 만들고 백신을 먼저 만든 거지?,치료제는 만들기도 힘들고 돈이 그만큼 안된다고 들었어 ㅜㅜ
11626,아 진짜로? 키키 근데 너 누구랑 가서 봤냐!,키키 혼자 가서 봤다... 슬프다... 말하지 마라...
11643,청소가 힘들다,맞아 키키 난 그리고 미니멀이 좋아 ㅜㅜ
11644,청소가 힘들다,맥시멈 싫어 ㅠㅠ
11842,아... 설명을 못하겠네 그 기분을... 키키,키키 매운 음식은 너무 아프지 않닝 키키1 : 집 알아볼 때 부동산 몇 군데 정도 가봐 보통?
11865,키키 맞제? ㅜㅜ 그런 알바는 몸이 힘들겠지?하하,응응 그리고 판매를 해야 하니까 스트레스 받을 듯
11878,키키 욕먹는다... 어디 가서 그런 말 하면 키키,맞재... 우리끼리만 조용히 얘기하자 키키 그래도 힘들겠지1 : 자기 계발을 좀 해야 할 텐데... 닌 뭐 하고 있나?
11917,키키 하루이틀 해 가지고는 몸살만 나지 않겠나? 키키,키키 매주 가게 되는 거지... 시즌권 끊고 키키 힘들겠군
11918,키키 이래선 안된다 키키 벌써부터 힘들면 우야노 ㅠ 키키,키키 근데 진짜 보드 타면 멋있긴 하더라
12048,응응 나도 그렇게 생각해... 지금 군대 많이 좋아졌다고 하는데... 그것도 아닌 것 같고,진짜 군대에서 가혹행위 당하면서 힘들게 군 생활 하고 있는 사람들도 있을 거야 ㅠ
12075,그래 그래 아직은 만난 지 얼마 안 되었으니... 예쁘게 잘 만나!,응 나는 전혀 없어 키키 힘들 거 같아
12084,너도 한번 가봐!,차박은 SUV정도는 돼야지 하지 ㅠ 모닝인 힘들어
12123,그니까... 연예인들도 힘들어서 가게 문 닫고 그러는데... 가게만 하는 일반인들은 진짜 벼랑 끝에 내몰렸다는 표현이 맞는 거 같다 ㅜㅜ,그러니까 ㅠ 거기다 이제 대출도 다 막아 놓고 그러니까 자영업자들은 죽어 나지
12126,빨리 코로나 끝나고... 다들 일상을 되찾으면 좋겠다...ㅜㅜ 휴,코로나가 벌써 2년이야 ㅠㅠ 너무 힘들어1 : 브리트니 스피어스 12세 연하 남자친구랑 약혼 발표했대!
12142,시술할 때 아프진 않다더나?,아니 그게 얼마나 아픈데 ㅠ 점막을 시술하는 건데 펑펑 운대
12404,근데 복지는 업무 강도에 따라 바뀌는 듯... 그만큼 힘들면 대우는 해주고 키키,갈수록 좋아지는 것 같으면서도 뭔가 살기 팍팍해지는 기분 키키
12405,근데 복지는 업무 강도에 따라 바뀌는 듯... 그만큼 힘들면 대우는 해주고 키키,소소하게 살고 싶은데 그럴려면 또 회사에서 열심히 일해야죠...ㅠㅠ
12418,육군은 좀 행군? 같은 거 하면 진짜 힘들겠더라,완장? 완전 풀착장하면 가방만 20kg 넘는다 그랬나?
12419,육군은 좀 행군? 같은 거 하면 진짜 힘들겠더라,그러고 산 넘는다면서요? 낙오될 것 같아여 저는 ㅋ
12433,키키 난 피아노는 진짜 좋아해서 키키 피아노 선생님도 한번 해봤지,근데 피아노 학원 선생님 하면 야들 제어하기 힘들지 않아요?
12461,키키 조카들도 보면 누나 동생 이렇게 있는 게 더 잘 노는 거 같더라 키키 배우는 것도 더 많고...,"저희 조카는 첫째 아들, 둘째 딸인데 딸래미가 키키 지 오빠 보고 따라서 몸으로 놀아서... 올 때마다 너무 힘들어유 키키1 : 애들 반려용품 좀 사줘야 되는데 키키 왜 이렇게 비싸니"
12477,올라가는데 지금은 1시간은 걸리지 싶다 ㅠㅠ,전 등산하다가 너무 힘들어서 하산을 한...
12479,근데 힘들어 죽겠는데 호흡이고 나발이고 키키 운동은 하고 나먄 개운한데 ㅠㅜ,맞아요 키키 전 겨울에 아침에 수영하고 나오면 진짜 개운 키키
12480,근데 힘들어 죽겠는데 호흡이고 나발이고 키키 운동은 하고 나먄 개운한데 ㅠㅜ,추울 줄 알았는데 상쾌하고 좋던데 키키
12512,나는 야간에는 타본 적 없는데 ㅠㅠ 사실 딱 한번 밖에 안 가봣지만... 키키,어유 키키 전 그렇게 아프고 나서 스키장은 보지도 않아요 키키
12531,그치? 이번에 태풍 때문에 다른 나라는 사망자도 많이 나오고... 무섭다 ㅜㅜ 세상이 진짜 망하고 있는 거 같아서,북극? 눈 다 녹았다고 하고 아프리카에 눈 왔대요;
12608,맞아 키키 쿠팡은 또 뭐 로켓회원 아니면 싸도 주문 못 하는 거도 많더만 ㅡㅡ,콜라 먹었는데 빨리 먹어서 아프니까 연정훈이 등 쓰담하니까 트림하고 키키 김선호 요즘 드라마도 하지 않아요?
12752,** 얼마 안 하지 않았어?,웅 ** 총리가 아프다고 했나 그래서 그만두고 일 년 정도 남았는데 **가 들어감 키키
12774,아프진 않은데 뭔가... 병원 가봐야겠다 ㅠㅠ,그래도 병원 가서 정확하게 알아야쥐 ㅜㅜ
12775,아프진 않은데 뭔가... 병원 가봐야겠다 ㅠㅠ,뭐 먹고 장염 걸렸냐
12842,맞아 전기차를 사려면 여러가지 환경이 키키,아파트 사는 사람들이나 전기차 사지 안 그러면 충전하기도 힘들겠더라1 : 대학교 다닐 때 아르바이트한 적 있어?
12846,업무가 힘들진 않았어?,겨울에 스키장 야외에서 일하는 애들은 30분마다 교대하고 그랬는데 ㅠ
12847,업무가 힘들진 않았어?,나는 발권이어서 그나마 편했어
12859,국회의사당에서 근무했었는데 군대 생활이 녹록치 않았대나 봐,그때 군인 하던 애들이 대체적으로 힘들었던 것 같아.
12889,흠... 키키 연애라는 건 해도 해도 어려운 듯 하당 키키,맞아. 하면 좋긴 한데 머리 아프고... 그렇다고 또 안 할 수도 없고1 : 얼마 전에 애견샵 지나는데 비숑이 너무 귀여웠어서 마음에 남아 ㅠㅠ
12978,싱겁진 않아 키키 양이 너무 적어서... 배가 고픈 건 있지 키키,나 같은 대식가에게는 조금 힘들 것 같다 키키1 : 요즘 보는 드라마 있어용?
13122,기사 보니까 모더나 2차가 더 아프대,엉 아빠도 1차 땐 안 아팠는데 지금은 열도 나고 두통도 있다고 하네
13127,근데 백신 접종률이랑 확진자 수랑은 상관 없는 거 같은디,백신은 안 걸리게 하는 게 아니라 걸렸을 때 덜 아프게 하는 거래
13135,아이라인 문신은 완전 아프잖아,아프긴 한데 엄청 편해
13243,아 그래? 햄토리 죽었을 때 힘들었겠다... 사춘기 였을 텐데,집에 왔는데 죽어있어서 울고불고 난리가 났었지 ㅠㅠ
13259,응? 키키 그런 게임도 있어? 공룡들이 땅따먹기라니...,하루 종일 게임만 쳐다보고 있어야 해서 엄청 힘들었어 ㅜㅜ
13260,키키 재밌자고 하는 게임을 힘들었다고?,응 키키 그 게임은 유난히 그렇더라구
13262,키키 기억도 안 나는구나?! 힘들게 게임 하느라 고생했네~!,이젠 하고 싶지 않아 ㅠㅠ 추억으로 남겨둘래1 : 여행 갈 때 숙소 예약은 어떻게 하는 편이야?
13263,키키 기억도 안 나는구나?! 힘들게 게임 하느라 고생했네~!,나는 보통 인터넷이나 어플로 미리 예약하고 가는 편이야
13295,그러게... 저 허리케인이 코로나도 같이 휩쓸고 가면 좋으련만... 집이랑 나무들만 휩쓸고 있나봐...,그만큼 자연이 고통 받고 있다는 거지
13296,자연도 고통 받고 사람도 고통 받고...ㅜ,같이 공생하며 사는 방법이 필요할 거 같아
13309,그나마 바른 자세로 사용하면 좀 덜 아플 거 같긴 한데 다들 안 좋은 자세로 사용하니까...ㅜ,그러다 보면 허리도 아프고 목도 아프고 금방 골병들 거 같아 ㅜㅜ
13312,미리 예방할겸 스트레칭 해주면 좋은데 더 썩혔다가 아프고 아파서 병원을 가지...,맞아 안 아프니까 괜찮다는 생각이 드는 건가봐 키키
13313,우리 아프기 전에 미리미리 예방해서 건강 좀 챙기자~,그래 건강을 챙기는 습관을 가져보자!1 : 띵굴마켓이라는 인터넷 쇼핑몰 들어봤어?
13314,우리 아프기 전에 미리미리 예방해서 건강 좀 챙기자~,응 들어봤어! 요새 핫한 쇼핑몰이라던대...
13328,아 키키 그런 거야 뭐... 항상 연예계는 시끄럽지...키키,논란 없는 연예인 찾는 게 더 힘들 듯 키키
13416,그 이후로는 절대 키우지 않아... 배신감 들까 봐 8ㅅ8,아 ㅠㅠ 슬프다...
13453,그치 키키 눈 오는 날의 출근길은 쉣이지만 여행 가서 눈 오는 거 보면 걍 극락일 듯,응 근데 제주도는 산에 올라갈 일이 많은데 눈 내리면 힘들 것 같아 키키
13475,한국은 그냥 뭐 어디 담아서 일부러 묻히고 그러는데 주사기로 찌른대 아 ㅜㅜ 근데 아프니까 알지 않을까 주사면?,응 그 여자가 아파 가지고 뒤돌아 봐서 신고한 다음 경찰이 와서 cctv보니까 여러 명을 시도한 흔적이... 으으으으우 극혐
13504,나는 이제 쿠팡 없이 살 수 없는 몸이 되어버렷...,근데 쿠팡 갑질? 택배 기사님들 힘들게 하고 그거 때문에 말 많더라고
13529,눈을 감고 말았지... ㅎ... 근데 또 캐스팅은 좋아 ^^,배우들이 찍으면서 얼마나 힘들었을까 키키
13705,키키 그니까 치고 나면 발도 아프고 무릎도 아프고,20대 때랑 달라 키키
13706,키키 그니까 치고 나면 발도 아프고 무릎도 아프고,몸이 하루가 다르게 연약해져
13796,맞아 그땐 진짜 당장 고 3 수능 공부에서 벗어나기만 하면 뭐든 할 것만 같았어 키키,맞아 ㅜㅜ 넌 그리고 수시로 갔지만 난 정시여서 끝까지 고통스러웠엌 키키
13942,키키 진짜 진작 부동산에 관심 가질걸 싶다 키키,그런데 청약 같은 거 더 일찍 가입했어도 그거 점수 얼마 안 돼서 당첨 힘들지 않았을까 싶음 키키 큐 ㅠㅠ
13972,키키 코시국이 많은 걸 바꿔 놨어 키키,ㅁㅈ 끝나도 마스크 벗기는 힘들 거라 보기도 하던데... 어찌 되려나
13987,키키 그렇게 되면 완전 좋죠 키키,"보통 언어 기본 설정에 한국어 빠진 경우 많은데, 이 기회에 좀 생겼으면...1 : 공부할 게 많아서 힘들지?"
14012,그럴 거 같애 키키 부작용은 진짜 케바케던데 안 아팠으면 키키,"아니 이번에 아프면서 생각한 게, 고작 백신 맞고 이 정도인데 찐으로 걸렸다면 난 죽도록 고생했겠다 싶더라"
14028,후각에 예민한 사람들한텐 힘들 거 같아,오죽했으면 집 구할 때 개 키우는 집인지 꼭 확인하라겠어
14070,아 일자리가 별로 없어? 저런 키키,거기도 취업 힘들어서 난리일걸
14110,키키 마스크 정말 키키 그만 쓰고 싶다 간절하게,ㅇㅈ 특히 한여름에 진짜 힘들었음1 : 오후에 운동 가기 너무 귀찮아
14112,아니 재미없어 키키 힘들기만 해 키키,앜 키키 돈 주고 고문 받는다고 하더니 키키 진짜라니
14124,백화점이라고 또 옷 재질이 좋은 것도 아니고 비싸기만 한 옷들 많잖아,ㄱㄴㄲ! 백화점도 사입이 많아서 진짜 옷 고르기 힘들어졌음
14130,어제 저녁부터 떡밥이 쏟아져서 다 주워 먹기 힘들어 키키,그런 거 정리해서 올리는 계정 같은 건 없어?
14174,업무 같은 건 힘들진 않고?,일한 지 오래돼서 아무래도 괜찮아
14176,나는 성과직이어서 미치겠다 요즘 ㅠ,성과직이 아무래도 많이 힘들지
14182,많이 힘들다고 하던데 ㅠ 어땠어?,사회가 가까이 있어 좋았어
14184,그래도 시위 진압 같은 거 하고 하면 힘들지 않아?,다들 요령껏 하는 거지 뭐 하하
14185,군대 생활하면서 선임들이 힘들게 하진 않았어?,군 생활을 잘해서 아주 편했어 하하
14281,보험도 얼마 전에 부랴부랴 몇 개 들었어,보험 안 들면 돈이 많이 들어서 힘들어
14351,출근 하시는 것에 감사하네요...,내 직장 상사... 출 퇴근하기 힘들어서 멱살 잡고 사표 던지지 않는 것에 감사하는 삶 살길... ^ ^
14355,뭐 더 없겠죠? 슬프다...,소처럼 일해도 사장 정도 되지 않고서야...
14356,뭐 더 없겠죠? 슬프다...,세금 떼어먹지 않는 이상~
14432,우주를 위한 과수원이라 괜찮아요 ㅠ 완전 괜찮아요,등산은 동네 뒷산이어도 영 힘들지... 고생혔네~
14434,멀리서 보는데도 엄청나서 올라갈 엄두가 안 나더라구요 키키,올라가는 건 너무 힘들어... 정상까지는 갔구?
14475,서로 서로 같은 마음…직장인의 비애 ㅠ,점심시간 땡 끝나면 다들 슬프게 회사로 돌아가는 사람들... ^^
14476,쳇바퀴 도는 햄스터 같다… 진짜 슬프네요 키키,원래 인생은 수레바퀴 같은 거라는 노래도 있으니까 하하
14477,쳇바퀴 도는 햄스터 같다… 진짜 슬프네요 키키,슬프게 돌고 도는 우리네 인생~
14498,어떻게 해야 사라질 것인가 키키,우리가 너한테 못해준 게 뭐길래 우리를 이렇게 괴롭히는지도 물어보고~
14586,아니? 비행기가 좋다 그냥 얌전히 가자,맨날 비행기 타니까 질려 하하1 : 오늘 알바는 안 힘들더나 하하
14599,진짜 멋있다... 나라를 지킨다... 마인드 지림,근데 개빡세더라... 군인 되기도 힘들다
14608,원격으로 하는데 쌤들이 힘들어 보임 진짜,아 학생 말고 쌤들이? 키키
14690,ㅇㅋ 내 걱정해 주는 걸로 마무리하자 ^^,ㅇㅋㅇㅋ  훈훈하네 친하게 지내자1 : 아니 나 왜 요즘 어깨가 아프지
14692,귀신 씌이면 아프나?,걍 해 본 말임 키키 니 자세가 불량해서 그럼
14759,해병대? 와 힘들겠다,키키 원래 자기가 나온 데가 젤 힘든 데래
14778,하긴 자유 여행은 힘들었겠다,맞아 맞아! 할머니 할아버지도 계셔서 그랬지
14784,하긴 결혼 준비 장난 아니더라!,키키 너 친구 많이 힘들대?
14787,응 그게 더 힘들대 ㅠㅠ,왜? 어떤 게 제일 힘들대?
14814,음... 요즘 밖에 많이 돌아다니는 건 힘들잖아,그렇지 키키 그래서 어디 가자고?
14837,하... 이렇게 오래 갈 줄 누가 알았나,왜? 아프간 사람들 어떡하냐 진짜
14933,너무 슬프다 이러는데 어떻게 아들을 군대로 보내,그러니까 군대 얘기하면 좋은 게 하나도 없잖아
14950,너 이번에 할머니 댁은 안 가?,넘 가기 힘들다
14957,신기하다 성격 다르면 좀 힘들지 않나?,나도 그렇게 생각했는데 만나보니까 또 재밌는 점이 있더라구 키키
15003,그래서 맨날 화장도 지워지고 마스크는 벗지도 못하고…,마스크 때매 더 힘들었던 거 같아 키키
15073,엄청 재밌나 봐 너 되게 신나 보인다 키키,"그래 그래, 머 먹지 오늘 힘들었으니까"
15109,그랬지 근데 이번엔 진짜로 결심했어,그래 그래 잘했어. 거기 너무 힘들고 사원을 부려 먹어
15110,마자 이렇게 사원을 부품처럼 쓰는 곳에 다니고 있다니...,ㅠㅡㅠ 슬프네 더 좋은 곳으로 갈 수 있을 거야!1 : 요즘 dp가 그렇게 재밌대
15115,아 그래? ㅠㅠ 군대 힘든 거 같아,마자 힘들지 군대 얘기하니까 울 회사 생각난다
15117,아... 결국 거기도 K화 되었구나 안타깝다,응... 너무 그래서 힘들어 위계질서가 장난이 아니야
15118,그럼 힘들지 회사 이직 하는 건 어때?,이직? 아직 준비가 안 되어있어 ㅠㅡㅠ1 : 요즘 공인중개사 공부하느라 힘들어
15119,그럼 힘들지 회사 이직 하는 건 어때?,오 공인중개사 따게?
15120,그럼 힘들지 회사 이직 하는 건 어때?,준비 중이야?
15322,그러니까 ㅠ 그리고 비대면 수업은 교육 하는 만큼 따라와주지도 않을 것 같노,"내 말이 키키 하나의 수업을 계획하면 달성해야 하는 목표까지 가기도 힘들고, 수업의 종류라고 해야 하나..."
15327,특히 화났을 때... 잘 화내고 싶다,와 키키 공감... 화낼 때 키키 논리적으로 화내고 싶다...1 : 너희 부모님은 백신 맞으시고 안 아프셨나?
15328,특히 화났을 때... 잘 화내고 싶다,"아빠는 이번 주에 2차 맞고, 엄마는 교차 접종 했는데, 2차 화이자 맞고 다음날 아프다 하더라 ㅠㅠ"
15329,뭔가 부모님이 아프다고 하니까 더 걱정이드라,맞제 ㅠㅠ 우리 엄마는 이까지 아프다고 하더라 ㅠㅠ
15330,뭔가 부모님이 아프다고 하니까 더 걱정이드라,밥도 못 먹고 .... 너희 엄마는 2차까지 맞으셨나?
15430,피티 받고 있다고 했제 키키,응 키키 주 2회 받고 있는데 땀을 한가득 흘린다 ㅠㅠ 너무 힘들어
15431,키키 와 ㅠㅠ 운동 진짜 힘들더라 나는 피티 못 할 것 같다... 너무 힘들듯,맞제 ㅠㅠ 진짜 너무 힘들다!
15432,키키 와 ㅠㅠ 운동 진짜 힘들더라 나는 피티 못 할 것 같다... 너무 힘들듯,더 이상은 못하겠다! 할 때 까지 시키더라 ㅠㅠ
15434,맞제 나는 피티 다니지도 않는데 찔림 하하 내 미래일 것 같더라,키키 근데 나는 한번 뺐다가 다시 찐 거라서 다시 마음 잡기가 너무 힘들더라
15519,그니깐 지금 너무 힘들다고 찡찡거려,그러면 취사병 애들은 휴가 같은 건 없는 건가?
15597,괴롭힘을 많이 당했나 봐 ㅠㅠ,일본은 그걸 이지매라고 하나?
15598,맞아 요즘 비대면으로 수업 하잖아 그게 문제가 됐어,비대면이면 애들도 안 만날 텐데 어떻게 괴롭혔대?
15655,많이 해 먹어 봤어?,그냥 간단한 라면이나 밀키트 같은 거 요리해봤어! 복잡한 요리는 힘들더라 키키
15698,헐 그럼 왕복 여섯 시간 힘들겠다 ㅠ,웅 ㅠ 이번에는 아버지랑 나랑 번갈아서 운전해서 다녀오기로 했어
15723,한 번도 안 보여줬나 이따가 보내줄게 키키,하면 좋아하긴 하는데 시작하는 게 너무 힘들어 키키
15724,맞아 시작이 반이야 힘들어 키키,키키 맞지 운동해야 되긴 하는데 날씨가 추워져서 더 움직이기 싫다 키키
15728,아니 헬스 다녔었는데 요즘은 안 다녀 키키,키키 우와 예전에 다녔었구나 대단하다 힘들지 않았어?
15729,가기까지가 힘들지 막상 가면 재밌더라고 키키,키키 맞지 운동은 시작하는 게 너무 힘들더라 나도 헬스 한 번 해 보고 싶어
15789,주위에 아프다는 사람이 많아서 너무 무서워 ㅠㅠ,아 진짜? ㅠㅠ 내 친구들도 몇 명은 진짜 너무 아프더라 열도 많이 나고...
15791,그래야지 다음날 하루 일 뺐어 혹시 몰라서 키키,키키 맞아 혹시 몰라 ㅠㅠ 아픈데 일하면 너무 힘들 것 같아
15795,응 그래야지! 걱정해줘서 고마워!,ㅎ 웅웅! 아프면 너무 서러워 ㅠㅠ
15821,한국어가 아니라 읽기 힘들더라고 키키 나중에 보여줄게,키키 웅웅 어쩌다가 처음 좋아하게 된 거야?
15859,ㅜㅜ 그럼 진짜 시간 대비 노동 넘 많아지니까 힘들어질듯,적게 일하고 많이 벌 수는 없는 거냐구
15889,그래서 육아를 1도 모르니까 힘들긴 할 것 같애,그래도 조카는 내가 키우는 거 아니고 가끔 만나서 놀아주는 거니까 항상 예쁘기만 할 꺼야 키키
15894,키키 근데 형부가 늙어서 육아 하시기 힘들듯,키키 미리 체력 관리 하셔야지 육아는 전쟁인데
15895,맞아 진짜 20대 후반 체력도 이런데 30후반이면... 말잇못,키키 그래서 너무 늦게 결혼하면 힘들 꺼 같아1 : 내 품 안엔 지금 아랑이가 있어 진짜 힘든 일 있을 때 쓰다듬으면 힐링 돼
15900,ㅜㅜ 강아지 키운 뒤로 강아지 다치는 이야기는 넘 슬퍼 못 보게썽,세상 모든 강아지들이 아프지 않고 건강했으면 좋겠어
15904,나중에 돼지 키우는 사람들 많아질지도...?,키키 에이 돼지는 힘들지 않을까?1 : 이번  가을에 우리 단풍 보러 무등산 갈래?
15907,키키 그니까 나 이번에 한의원 갔더니 폐가 안 좋다고 말도 많이 하지 말랬는뎅,무등산 꽤 힘들어서 마음 단단히 먹어야 할 꺼야
15923,그때쯤이면 산책할 때도 날씨 최고겠다,맞아 근데 10월말이라 조금 쌀쌀할 것 같아서 늦게까지 밖에서 놀기는 힘들 것 같아 ㅠㅠ
15942,키키 와 진짜 명언이네 가슴 깊이 새기고 겨울맞이 하겠습네다,크게 아프지 않고 잘 지나갔으면 좋겠어
15943,그러게 근데 우리 언니 오늘 맞았는데 암 말 없는 거 보면 안 아픈가 봐 화이자거든,다행이네 그런데 1차보다 2차 때 훨씬 더 아프다더라
15944,그니까 뭐든 다 그렇나 봐 친구도 모더나 2차 맞고 힘이 없었대,어휴 너무 힘들었겠다
15951,ㄱ 키키 열 나서 기분이 붕 뜬 것처럼 기분 좋았을걸,보통 열이 그 정도로 높으면 그냥 서있기도 힘들 텐데1 : 중국은 아직도 코로나 걸려도 숫자 제대로 집계 안 하고 있는 거겠지?
15966,키키 맞아 한 6월쯤 맞으면 3개월 효과 있어서 9월까지 간대 그럼 그 기간 동안 기름 땀 별로 안 난대,꾸준히 맞긴 힘들고 여름이라도 맞으면 좋을 듯?
15973,오 나도 환기 자주 시켜 강아지들 먼지나 그런 거 때매 건강 해칠까 봐 이불도 자주 갈고,근데 날씨 더 추워지면 환기 힘들 텐데 공기청정기를 하나 살까 봐
15983,ㅜㅜ 우린 진짜 인터넷에서만 쇼핑 자주 하는데 재난지원금 정말 쓰기 힘들게따,그치ㅠ 재난지원금을 인터넷에서 쓸 수 있으면 25만원 진짜 순삭인데
16045,헐 내가 본 뉴스가 거기였어?,응응 거기서 선임이 후임 괴롭혀서 자살했다고 뉴스 뜬 곳 거기 맞음
16059,키키 ㄲㅋ 그니까 겁나 힘들어서 형부 있는데 그냥 잠 들었다니까,야 그거 찐사랑이네 키키
16060,키키 ㄲㅋ 그니까 겁나 힘들어서 형부 있는데 그냥 잠 들었다니까,그거 사랑 없이 하기 힘든 거 아님?
16122,오 진짜? 난 올해가 더 더웠졍 장마가 짧아서 그랬나,평이했다고는 하지만 여름은 힘들어
16136,그니까 언제 끝날지 의문이야 백신을 다 맞아도 몇 년이나 마스크 써야 될까,그러게 뭔가 마스크가 익숙해진 게 슬프기도 해 키키
16145,탈레반이 친구라고 불러주는 게 좋아할 일인가 막 이러던데,내가 미국이 아프가니스탄 탈레반 인근 지역에서 철수한다는 것까지만 봤는데 그렇게 되면 중국이랑 미국이랑 사이 더 나빠지는 거 아니야?
16213,여자 혼자 살기에는 너무 무섭고 보안도 잘 안 된 곳이 너무 많아요,보안이 안 되면 조금 힘들지...
16243,엄마랑 걔 여자 친구가 배웅해 주는데 누가 보면 걔 여자 친구가 부인이라고 생각했을 만큼 울더라,키키 뭐가 그렇게 슬프다고 해 ?
16259,아 맞다 선생님! 오늘 퇴근하고 뭐 하세요? 술 한잔 하실래요?,네 알겠어요~ ㅎ 요즘 저도 많이 힘들어서 한잔하시죠.1 : 다음 달에 우리 가족들이랑 리조트 잡아서 놀러 가는 거 어때?
16282,응 그거! 나중에 암컷들이 수컷을 다 잡아 먹는 거 보고... 엄청 놀랬다.,"책임감이 너무 드니까... 일을 하다가도 걱정될 거 같고, 내 생활이 힘들 듯..."
16319,일단 나무 보관을 엉망으로 해서 그 자재를 가구로 만든 거고 마무리 작업도 했었어야 했는데 그런 작업도 안되어 있었더라구.,진짜 힘들게 분양 받고 들어 갔을 텐데 그런 집이 내 집이라고 생각하면 끔찍하다
16328,엉망으로 지어 놓으면 아무도 안 살 테니깐! 더 열심히 지을 것 같다.,응 그러면 집을 보고 사게 되니깐 저렇게 까지 심하게는 안 지을 꺼 같다.1 : 아프간 사람들 뉴스 보면 가슴이 짠하다
16330,미군 철수가 세계적으로 큰 파장이 되어 버렸어 게다가 아프간 대통령은 바로 다른 나라로 갔던데?,근데 아프간 대통령은 상직적인 의미라서
16331,미군 철수가 세계적으로 큰 파장이 되어 버렸어 게다가 아프간 대통령은 바로 다른 나라로 갔던데?,이미 대립에서 진 거라면 대통령은 내전의 불씨라서 더 큰 유혈 사태를 막기 위해서 빨리 안 잡히고 사라져 주는 게 책임 있는 거야
16354,안 아팠어? 다들 엄청나게 아프다고 하던데,나 하루에 약 2알씩 먹고 잤는데 이틀째에 너무 힘들더라
16418,아~ 대박이네 키키 나 뺴고 다 똑띠들이었네,아 진짜? 대박 회계사 되기 엄청 힘들잖아 축하한다
16468,어제 본 고양이는 진짜 이쁘던데 키키 길 고양이!,키키 이야 길 고양이들은 대체로 관리가 제대로 안되어있어서 이쁘기 힘들던데
16499,요즘 점점 핫 해지는 거 같더라 키키 입소문 타서,아 키키 예약 잡기 힘들겠네 그러면 키키
16524,아 최근 아프간 문제도 봐봐 아우 진짜,그러니까 처음엔 미국이 20년이 지원했다고 해서 철수하는 거 그럴만하다 했는데 돌아가는 상황 보니까 아닌 거 같아
16525,그제 이게 흠 복잡한 상황인 거 같아,아프간이 험난한 산지가 많은 국가라 카불 말고 다른 지역은 아직 중세 시대에 머물고 있다 하더라고
16610,와 키키 정말 많이 준다! 근데 힘들지 많이?,일도 생각보다 할 만해서 며칠 다녔었어
16643,그냥 내가 아프기 싫은데? 키키,아 그렇구나 나는 한 명만 낳고 싶어
16646,그건 아닌데 키키 반려동물 새를 잃어버렸대,아 새를 잃어버렸구나 근데 그건 찾기도 힘들겠다!
16693,우리 학교는 다행히 그런 일 없어서 망정이지 키키,맞아 키키 내 학교가 그랬으면 상당히 충격일 듯1 : 적도 바로 위에 있는 나라가 아프리카인 거 알지?
16710,응 그래서 내가 지금 다시 살이 쪄서 너무 슬퍼 ㅠㅠ,키키 나도 다른 의미로 슬프다. 열심히 해야지1 : 나 요즘 들어 스트레스 너무 받아서 몸이 힘들어
